,id,url_name,Peak_Heat_Release_Rate,Peak_Heat_Release_Rate - Uncertainty,time_to_peak_heat_release_rate,time_to_peak_heat_release_rate - Uncertainty,total_heat_released,total_heat_released - Uncertainty,total_fuel_mass_burned,total_fuel_mass_burned - Uncertainty,net_effective_heat_of_combustion,net_effective_heat_of_combustion - Uncertainty,net_heat_of_combustion_per_mass_fuel,net_heat_of_combustion_per_mass_fuel - Uncertainty,net_heat_of_combustion_per_mass_o2,net_heat_of_combustion_per_mass_o2 - Uncertainty,o2_yield,o2_yield - Uncertainty,co2_yield,co2_yield - Uncertainty,co_yield,co_yield - Uncertainty,soot_yield,soot_yield - Uncertainty,test_duration,test_duration - Uncertainty,fuel_type,fuel_type - Uncertainty,net_fuel_mass,net_fuel_mass - Uncertainty
0,1647008482,http://nfrl1.el.nist.gov/HRR/JSON_FILES/EXPERIMENTS/1647008482.json,96.46,6.237850690953272,21.45,0.16666666666666666,173.80297000000013,12.235369742027832,10.284199408284032,0.7869844682685897,,,16.9,0.5,12.84,0.511032,1.2152108404618127,0.1007956328973887,1.0207518096429404,0.0863236769429169,0.11291165706217697,0.009548794638663706,0.009760375203260695,0.00399139342350847,55.81666666666667,0.03333333333333333,"PVC, Natural Gas",[],,
1,1646936290,http://nfrl1.el.nist.gov/HRR/JSON_FILES/EXPERIMENTS/1646936290.json,127.17,7.774226946430953,11.38,0.16666666666666666,126.85369000000006,9.13359765408488,7.506135502958584,0.5854857776545797,,,16.9,0.5,12.84,0.511032,1.312967122427238,0.11069605341127929,1.1578661950390765,0.09946973557433607,0.08745498473923723,0.007513065191765046,0.01899378292448518,0.004511163803867653,39.666666666666664,0.03333333333333333,"PVC, Natural Gas",[],,
2,1646410394,http://nfrl1.el.nist.gov/HRR/JSON_FILES/EXPERIMENTS/1646410394.json,44.72,3.2726526456239946,15.55,0.16666666666666666,36.46505999999999,3.1462837613042596,2.157695857988165,0.19710299913236445,,,16.9,0.5,12.84,0.511032,1.2293379429250573,0.11898955789313924,1.1008348119333262,0.10808723248201907,0.026711074923491653,0.002622669753720448,0.011638074817020418,0.0019015385916201074,26.15,0.03333333333333333,"PVC, Natural Gas",[],,
3,1646317604,http://nfrl1.el.nist.gov/HRR/JSON_FILES/EXPERIMENTS/1646317604.json,279.98,15.619807695544178,9.73,0.16666666666666666,199.5361699999999,12.053160298882045,4.988404249999998,0.33644454224933956,,,40.0,1.2,13.1,0.5213800000000001,2.901444463475141,0.2165976733006775,2.641932578692136,0.2019803981944807,0.09468698764835408,0.007238986953451341,0.03948967788650172,0.008568051634933726,33.75,0.03333333333333333,"Plastics, Natural Gas",[],,
4,1646236342,http://nfrl1.el.nist.gov/HRR/JSON_FILES/EXPERIMENTS/1646236342.json,476.98,25.10975099705765,18.9,0.16666666666666666,260.0500799999999,15.068431874670033,6.501251999999998,0.4242059338183944,,,40.0,1.2,13.1,0.5213800000000001,2.824404945041961,0.20526152366631611,2.5866534419492955,0.1927629136734334,0.02045248432174278,0.0015241626132754416,0.052681952115373715,0.0081947848571088,34.86666666666667,0.03333333333333333,"Plastics, Natural Gas",[],,
5,1647355374,http://nfrl1.el.nist.gov/HRR/JSON_FILES/EXPERIMENTS/1647355374.json,188.35,10.744569679032466,10.95,0.16666666666666666,74.23254999999999,4.466684956906716,1.4846509999999997,0.099821237892162,,,50.0,1.5,12.54,0.499092,3.889562008962873,0.2896251333359073,2.8426921093893576,0.21680277659155195,0.1179953394404981,0.008999116411892348,0.017394661934651567,0.003011079255028389,11.766666666666667,0.03333333333333333,Natural Gas,[],,
6,1647353167,http://nfrl1.el.nist.gov/HRR/JSON_FILES/EXPERIMENTS/1647353167.json,69.11,4.706972173289615,9.27,0.16666666666666666,31.69258,2.324400245741935,0.6338516,0.05022674254520565,,,50.0,1.5,12.54,0.499092,4.295202229747077,0.3670592234188795,3.0341695903895083,0.26407845918461026,0.12412895746381479,0.010803543721176166,-0.0010497163213520882,0.006839378948719832,11.35,0.03333333333333333,Natural Gas,[],,
7,1647350471,http://nfrl1.el.nist.gov/HRR/JSON_FILES/EXPERIMENTS/1647350471.json,70.9,4.689096475406608,10.88,0.16666666666666666,36.152759999999994,2.5290227641521827,0.7230551999999999,0.055035537579479626,,,50.0,1.5,12.54,0.499092,4.123519997729101,0.3404722679385573,2.9699627994414346,0.25006898845133047,0.1046442033743986,0.008810975709881843,-0.008391351732920986,0.01919014948616382,11.666666666666666,0.03333333333333333,Natural Gas,[],,
8,1646925658,http://nfrl1.el.nist.gov/HRR/JSON_FILES/EXPERIMENTS/1646925658.json,170.94,9.734277226545114,20.48,0.16666666666666666,123.52854999999998,7.401518729042255,2.4705709999999996,0.16554860542445599,,,50.0,1.5,12.54,0.499092,3.6341437998805746,0.2698606574120503,2.637693013565893,0.20063992500173009,0.1365594615037362,0.010387592480803988,0.014861552883507705,0.002366175034425885,21.483333333333334,0.03333333333333333,Natural Gas,[],,
9,1646840839,http://nfrl1.el.nist.gov/HRR/JSON_FILES/EXPERIMENTS/1646840839.json,138.16,8.227815819179423,9.57,0.16666666666666666,65.3681,4.0691870738845335,1.307362,0.09034151446620312,,,50.0,1.5,12.54,0.499092,3.869282716638373,0.2946530817491801,2.7402814759175373,0.21351534050433615,0.15447968179232394,0.012036640085612182,0.007903422718361818,0.002625702005241791,12.266666666666667,0.03333333333333333,Natural Gas,[],,
